"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Zercher Squat",,"",0,"normal",40,15,,,
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Zercher Squat",,"",1,"normal",40,15,,,
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Single Arm Landmine Press (Barbell)",,"",0,"normal",12.5,10,,,
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Single Arm Landmine Press (Barbell)",,"",1,"normal",12.5,10,,,
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Cable Core Palloff Press",,"",0,"normal",60,6,,,
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Cable Core Palloff Press",,"",1,"normal",60,6,,,
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Bent Over Row (Barbell)",,"",0,"normal",60,9,,,
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Seated Leg Curl (Machine)",,"",0,"normal",85,8,,,
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Seated Leg Curl (Machine)",,"",1,"normal",85,8,,,
"FULLBODY II","Apr 15, 2026, 6:49 AM","Apr 15, 2026, 7:52 AM","","Plank",,"",0,"normal",,,,244,
"FULLBODY I","Apr 14, 2026, 7:11 AM","Apr 14, 2026, 8:10 AM","","Squat (Barbell)",,"",0,"normal",80,6,,,
"FULLBODY I","Apr 14, 2026, 7:11 AM","Apr 14, 2026, 8:10 AM","","Straight Leg Deadlift",,"",0,"normal",110,6,,,
"FULLBODY I","Apr 14, 2026, 7:11 AM","Apr 14, 2026, 8:10 AM","","Bench Press (Barbell)",,"Primeira serie manter peso e repeticoes porque a execucao nao foi perfeita",0,"normal",85,5,,,10
"FULLBODY I","Apr 14, 2026, 7:11 AM","Apr 14, 2026, 8:10 AM","","Bench Press (Barbell)",,"Primeira serie manter peso e repeticoes porque a execucao nao foi perfeita",1,"normal",80,3,,,
"FULLBODY I","Apr 14, 2026, 7:11 AM","Apr 14, 2026, 8:10 AM","","Pull Up",,"",0,"normal",,8,,,
"FULLBODY I","Apr 14, 2026, 7:11 AM","Apr 14, 2026, 8:10 AM","","EZ Bar Biceps Curl",,"",0,"normal",30,9,,,
"FULLBODY II","Apr 8, 2026, 7:15 AM","Apr 8, 2026, 8:17 AM","","Zercher Squat",,"",0,"normal",40,10,,,
"FULLBODY II","Apr 8, 2026, 7:15 AM","Apr 8, 2026, 8:17 AM","","Zercher Squat",,"",1,"normal",50,8,,,
"FULLBODY II","Apr 8, 2026, 7:15 AM","Apr 8, 2026, 8:17 AM","","Single Arm Landmine Press (Barbell)",,"",0,"normal",12.5,10,,,
"FULLBODY II","Apr 8, 2026, 7:15 AM","Apr 8, 2026, 8:17 AM","","Single Arm Landmine Press (Barbell)",,"",1,"normal",12.5,9,,,
"FULLBODY II","Apr 8, 2026, 7:15 AM","Apr 8, 2026, 8:17 AM","","Cable Core Palloff Press",,"",0,"normal",60,6,,,
"FULLBODY II","Apr 8, 2026, 7:15 AM","Apr 8, 2026, 8:17 AM","","Cable Core Palloff Press",,"",1,"normal",60,5,,,
"FULLBODY II","Apr 8, 2026, 7:15 AM","Apr 8, 2026, 8:17 AM","","Seated Leg Curl (Machine)",,"",0,"normal",80,8,,,10
"FULLBODY II","Apr 8, 2026, 7:15 AM","Apr 8, 2026, 8:17 AM","","Seated Leg Curl (Machine)",,"",1,"normal",80,11,,,10
"FULLBODY II","Apr 8, 2026, 7:15 AM","Apr 8, 2026, 8:17 AM","","Plank",,"",0,"normal",,,,244,
"FULLBODY I","Apr 6, 2026, 5:55 PM","Apr 6, 2026, 7:08 PM","","Squat (Barbell)",,"",0,"normal",80,7,,,9
"FULLBODY I","Apr 6, 2026, 5:55 PM","Apr 6, 2026, 7:08 PM","","Squat (Barbell)",,"",1,"normal",80,4,,,9
"FULLBODY I","Apr 6, 2026, 5:55 PM","Apr 6, 2026, 7:08 PM","","Straight Leg Deadlift",,"",0,"normal",110,6,,,10
"FULLBODY I","Apr 6, 2026, 5:55 PM","Apr 6, 2026, 7:08 PM","","Bench Press (Barbell)",,"",0,"normal",80,8,,,9
"FULLBODY I","Apr 6, 2026, 5:55 PM","Apr 6, 2026, 7:08 PM","","Bench Press (Barbell)",,"",1,"normal",80,7,,,9.5
"FULLBODY I","Apr 6, 2026, 5:55 PM","Apr 6, 2026, 7:08 PM","","Pull Up",,"",0,"normal",,8,,,9.5
"FULLBODY I","Apr 6, 2026, 5:55 PM","Apr 6, 2026, 7:08 PM","","Pull Up",,"",1,"normal",,7,,,10
"FULLBODY I","Apr 6, 2026, 5:55 PM","Apr 6, 2026, 7:08 PM","","EZ Bar Biceps Curl",,"",0,"normal",30,5,,,10
"FULLBODY I","Apr 6, 2026, 5:55 PM","Apr 6, 2026, 7:08 PM","","EZ Bar Biceps Curl",,"",1,"normal",30,5,,,10
"FULLBODY II","Apr 2, 2026, 7:38 AM","Apr 2, 2026, 8:19 AM","","Zercher Squat",,"",0,"normal",20,12,,,9
